reading_id,site_id,bin_id,device_id,batch_id,recorded_at,sequence,method,temperature_c,moisture_pct,oxygen_pct,co2_pct,nh3_relative,mq135_composite_ppm,stage_id,stage_name,days_until_ready,fault_codes
rdg-cmpiq-unram-esp32-01-0001,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-18T00:00:00Z,1,takakura,30.85,65.09,14.33,0.6,0.011,59.65,0,Early Mesophilic,44,
rdg-cmpiq-unram-esp32-01-0002,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-18T06:00:00Z,2,takakura,28.96,62.25,14.25,0.73,0.079,93.73,0,Early Mesophilic,44,
rdg-cmpiq-unram-esp32-01-0003,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-18T12:00:00Z,3,takakura,35.34,59.4,12.7,0.97,0.12,114.99,0,Early Mesophilic,44,
rdg-cmpiq-unram-esp32-01-0004,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-18T18:00:00Z,4,takakura,37.37,62.87,12.04,1.3,0.167,162.53,0,Early Mesophilic,44,
rdg-cmpiq-unram-esp32-01-0005,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-19T00:00:00Z,5,takakura,38.15,60.29,10.69,1.62,0.212,144.25,0,Early Mesophilic,43,
rdg-cmpiq-unram-esp32-01-0006,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-19T06:00:00Z,6,takakura,38.51,64.28,10.46,2.37,0.278,205.63,0,Early Mesophilic,43,
rdg-cmpiq-unram-esp32-01-0007,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-19T12:00:00Z,7,takakura,41.37,57.6,8.57,2.93,0.196,175.27,0,Early Mesophilic,43,
rdg-cmpiq-unram-esp32-01-0008,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-19T18:00:00Z,8,takakura,46.52,58.51,8.18,4.02,0.285,254.91,0,Early Mesophilic,43,
rdg-cmpiq-unram-esp32-01-0009,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-20T00:00:00Z,9,takakura,44.21,59.25,8.39,2.35,0.269,234.15,1,Active Thermophilic,42,
rdg-cmpiq-unram-esp32-01-0010,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-20T06:00:00Z,10,takakura,47.26,61.21,7.77,3.27,0.29,257.34,1,Active Thermophilic,42,
rdg-cmpiq-unram-esp32-01-0011,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-20T12:00:00Z,11,takakura,45.68,62.68,7.73,3.67,0.324,264.0,1,Active Thermophilic,42,
rdg-cmpiq-unram-esp32-01-0012,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-20T18:00:00Z,12,takakura,47.51,56.85,7.78,3.38,0.475,325.71,1,Active Thermophilic,42,
rdg-cmpiq-unram-esp32-01-0013,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-21T00:00:00Z,13,takakura,49.63,56.56,7.4,3.51,0.444,319.16,1,Active Thermophilic,41,
rdg-cmpiq-unram-esp32-01-0014,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-21T06:00:00Z,14,takakura,54.05,59.11,4.89,4.24,0.516,359.9,1,Active Thermophilic,41,
